time,open,high,low,close,Volume,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fisher,Signale,Long,Short,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fish1,Fish2,unFish,length,Long,Short
2023-07-19,32.51,32.97,32.3,32.75,431254,3.5,-3.5,3,2,0,-2,-3,2.874149436990418,2.5000496363118905,0,0,3.5,-3.5,3,2,0,-2,-3,2.874149436990418,2.5000496363118905,0.9252203009868694,10,0,0
2023-07-20,32.77,32.84,31.531,31.59,588205,3.5,-3.5,3,2,0,-2,-3,2.87393676135597,2.874149436990418,0,1,3.5,-3.5,3,2,0,-2,-3,2.87393676135597,2.874149436990418,0.8930642683278701,10,0,1
2023-07-21,31.55,31.64,31.21,31.27,605367,3.5,-3.5,3,2,0,-2,-3,2.4706094883398757,2.87393676135597,0,0,3.5,-3.5,3,2,0,-2,-3,2.4706094883398757,2.87393676135597,0.7753645540325469,11,0,0
2023-07-24,30.76,30.94,30.38,30.55,493443,3.5,-3.5,3,2,0,-2,-3,1.9021938755889778,2.4706094883398757,0,0,3.5,-3.5,3,2,0,-2,-3,1.9021938755889778,2.4706094883398757,0.5829298340238924,10,0,0
2023-07-25,31.23,31.55,30.95,31.39,380499,3.5,-3.5,3,2,0,-2,-3,1.5463043211822303,1.9021938755889778,0,0,3.5,-3.5,3,2,0,-2,-3,1.5463043211822303,1.9021938755889778,0.5336304734585848,11,0,0
2023-07-26,31.22,32.348,31,32.14,917347,3.5,-3.5,3,2,0,-2,-3,1.157396922136945,1.5463043211822303,0,0,3.5,-3.5,3,2,0,-2,-3,1.157396922136945,1.5463043211822303,0.36638811341978367,10,0,0
2023-07-27,30.97,31.01,29.735,29.91,1228021,3.5,-3.5,3,2,0,-2,-3,0.6141390783069614,1.157396922136945,0,0,3.5,-3.5,3,2,0,-2,-3,0.6141390783069614,1.157396922136945,0.03542578644333505,12,0,0
2023-07-28,30.26,30.625,30.1,30.4,423674,3.5,-3.5,3,2,0,-2,-3,-0.009348733114406982,0.6141390783069614,0,0,3.5,-3.5,3,2,0,-2,-3,-0.009348733114406982,0.6141390783069614,-0.30626472308296554,11,0,0
2023-07-31,30.95,31.74,30.93,31.48,595402,3.5,-3.5,3,2,0,-2,-3,-0.26302814255951884,-0.009348733114406982,0,0,3.5,-3.5,3,2,0,-2,-3,-0.26302814255951884,-0.009348733114406982,-0.2527551202411641,10,0,0
2023-08-01,30.45,30.71,29.9,30.32,568376,3.5,-3.5,3,2,0,-2,-3,-0.6799485029154482,-0.26302814255951884,0,0,3.5,-3.5,3,2,0,-2,-3,-0.6799485029154482,-0.26302814255951884,-0.49934593056157994,10,0,0
2023-08-02,30.02,30.08,28.68,28.83,866529,3.5,-3.5,3,2,0,-2,-3,-1.14091392786999,-0.6799485029154482,0,0,3.5,-3.5,3,2,0,-2,-3,-1.14091392786999,-0.6799485029154482,-0.6645617734762586,10,0,0
2023-08-03,28.57,28.79,28.35,28.5,515273,3.5,-3.5,3,2,0,-2,-3,-1.6038269070923152,-1.14091392786999,0,0,3.5,-3.5,3,2,0,-2,-3,-1.6038269070923152,-1.14091392786999,-0.7752563882290933,10,0,0
2023-08-04,28.61,29,28.375,28.53,716234,3.5,-3.5,3,2,0,-2,-3,-1.9724306132602645,-1.6038269070923152,0,0,3.5,-3.5,3,2,0,-2,-3,-1.9724306132602645,-1.6038269070923152,-0.8244378883609152,11,0,0
2023-08-07,28.35,28.35,27.22,27.29,929125,3.5,-3.5,3,2,0,-2,-3,-2.372601992822715,-1.9724306132602645,0,0,3.5,-3.5,3,2,0,-2,-3,-2.372601992822715,-1.9724306132602645,-0.8823733852018132,10,0,0
2023-08-08,26.43,26.72,26.235,26.49,847638,3.5,-3.5,3,2,0,-2,-3,-2.783132192718496,-2.372601992822715,0,0,3.5,-3.5,3,2,0,-2,-3,-2.783132192718496,-2.372601992822715,-0.9211901680852148,11,0,0
